_key,@id,@type,ipAddress,asn,country,isProxy,threatScore,annotation
IP001,ex:ip/203.0.113.11,IPAddress,203.0.113.11,AS15169,US,False,0.52,IP address 203.0.113.11 is associated with ASN AS15169 in US and has elevated-risk threat score (0.52). It supplies network-origin context for transactions and account history; it is classified as non-proxy network endpoint.
IP002,ex:ip/203.0.113.12,IPAddress,203.0.113.12,AS15169,GB,False,0.34,IP address 203.0.113.12 is associated with ASN AS15169 in GB and has moderate-risk threat score (0.34). It supplies network-origin context for transactions and account history; it is classified as non-proxy network endpoint.
IP003,ex:ip/203.0.113.13,IPAddress,203.0.113.13,AS15169,BR,True,0.9,IP address 203.0.113.13 is associated with ASN AS15169 in BR and has high-risk threat score (0.9). It supplies network-origin context for transactions and account history; it is classified as proxy/anonymization infrastructure.
IP004,ex:ip/203.0.113.14,IPAddress,203.0.113.14,AS20473,CA,False,0.23,IP address 203.0.113.14 is associated with ASN AS20473 in CA and has low-risk threat score (0.23). It supplies network-origin context for transactions and account history; it is classified as non-proxy network endpoint.
IP005,ex:ip/203.0.113.15,IPAddress,203.0.113.15,AS20473,DE,False,0.29,IP address 203.0.113.15 is associated with ASN AS20473 in DE and has moderate-risk threat score (0.29). It supplies network-origin context for transactions and account history; it is classified as non-proxy network endpoint.
IP006,ex:ip/203.0.113.16,IPAddress,203.0.113.16,AS13335,CA,False,0.19,IP address 203.0.113.16 is associated with ASN AS13335 in CA and has low-risk threat score (0.19). It supplies network-origin context for transactions and account history; it is classified as non-proxy network endpoint.
IP007,ex:ip/203.0.113.17,IPAddress,203.0.113.17,AS9009,BR,True,0.73,IP address 203.0.113.17 is associated with ASN AS9009 in BR and has elevated-risk threat score (0.73). It supplies network-origin context for transactions and account history; it is classified as proxy/anonymization infrastructure.
IP008,ex:ip/203.0.113.18,IPAddress,203.0.113.18,AS15169,US,True,0.35,IP address 203.0.113.18 is associated with ASN AS15169 in US and has moderate-risk threat score (0.35). It supplies network-origin context for transactions and account history; it is classified as proxy/anonymization infrastructure.
IP009,ex:ip/203.0.113.19,IPAddress,203.0.113.19,AS15169,US,False,0.47,IP address 203.0.113.19 is associated with ASN AS15169 in US and has moderate-risk threat score (0.47). It supplies network-origin context for transactions and account history; it is classified as non-proxy network endpoint.
IP010,ex:ip/203.0.113.20,IPAddress,203.0.113.20,AS13335,BR,False,0.37,IP address 203.0.113.20 is associated with ASN AS13335 in BR and has moderate-risk threat score (0.37). It supplies network-origin context for transactions and account history; it is classified as non-proxy network endpoint.
IP011,ex:ip/203.0.113.21,IPAddress,203.0.113.21,AS15169,BR,True,0.69,IP address 203.0.113.21 is associated with ASN AS15169 in BR and has elevated-risk threat score (0.69). It supplies network-origin context for transactions and account history; it is classified as proxy/anonymization infrastructure.
IP012,ex:ip/203.0.113.22,IPAddress,203.0.113.22,AS9009,NG,False,0.43,IP address 203.0.113.22 is associated with ASN AS9009 in NG and has moderate-risk threat score (0.43). It supplies network-origin context for transactions and account history; it is classified as non-proxy network endpoint.
IP013,ex:ip/203.0.113.23,IPAddress,203.0.113.23,AS8075,CA,True,0.37,IP address 203.0.113.23 is associated with ASN AS8075 in CA and has moderate-risk threat score (0.37). It supplies network-origin context for transactions and account history; it is classified as proxy/anonymization infrastructure.
IP014,ex:ip/203.0.113.24,IPAddress,203.0.113.24,AS16509,NL,False,0.48,IP address 203.0.113.24 is associated with ASN AS16509 in NL and has moderate-risk threat score (0.48). It supplies network-origin context for transactions and account history; it is classified as non-proxy network endpoint.
IP015,ex:ip/203.0.113.25,IPAddress,203.0.113.25,AS13335,US,True,0.4,IP address 203.0.113.25 is associated with ASN AS13335 in US and has moderate-risk threat score (0.4). It supplies network-origin context for transactions and account history; it is classified as proxy/anonymization infrastructure.
IP016,ex:ip/203.0.113.26,IPAddress,203.0.113.26,AS13335,CA,False,0.3,IP address 203.0.113.26 is associated with ASN AS13335 in CA and has moderate-risk threat score (0.3). It supplies network-origin context for transactions and account history; it is classified as non-proxy network endpoint.
IP017,ex:ip/203.0.113.27,IPAddress,203.0.113.27,AS15169,NL,True,0.71,IP address 203.0.113.27 is associated with ASN AS15169 in NL and has elevated-risk threat score (0.71). It supplies network-origin context for transactions and account history; it is classified as proxy/anonymization infrastructure.
IP018,ex:ip/203.0.113.28,IPAddress,203.0.113.28,AS8075,CA,False,0.05,IP address 203.0.113.28 is associated with ASN AS8075 in CA and has low-risk threat score (0.05). It supplies network-origin context for transactions and account history; it is classified as non-proxy network endpoint.
IP019,ex:ip/203.0.113.29,IPAddress,203.0.113.29,AS9009,US,True,0.55,IP address 203.0.113.29 is associated with ASN AS9009 in US and has elevated-risk threat score (0.55). It supplies network-origin context for transactions and account history; it is classified as proxy/anonymization infrastructure.
IP020,ex:ip/203.0.113.30,IPAddress,203.0.113.30,AS13335,US,False,0.47,IP address 203.0.113.30 is associated with ASN AS13335 in US and has moderate-risk threat score (0.47). It supplies network-origin context for transactions and account history; it is classified as non-proxy network endpoint.
