_key,@id,@type,deviceId,deviceType,isEmulator,firstSeen,annotation
D001,ex:device/D001,Device,D001,windows,False,2026-01-29T08:00:00Z,"Device D001 is a windows device first seen on 2026-01-29T08:00:00Z. It represents the client execution environment for transactions and helps identify new-device, emulator, and account-takeover behaviors; profile is normal endpoint profile."
D002,ex:device/D002,Device,D002,linux,False,2025-06-14T08:00:00Z,"Device D002 is a linux device first seen on 2025-06-14T08:00:00Z. It represents the client execution environment for transactions and helps identify new-device, emulator, and account-takeover behaviors; profile is normal endpoint profile."
D003,ex:device/D003,Device,D003,windows,False,2025-08-14T08:00:00Z,"Device D003 is a windows device first seen on 2025-08-14T08:00:00Z. It represents the client execution environment for transactions and helps identify new-device, emulator, and account-takeover behaviors; profile is normal endpoint profile."
D004,ex:device/D004,Device,D004,linux,False,2025-10-21T08:00:00Z,"Device D004 is a linux device first seen on 2025-10-21T08:00:00Z. It represents the client execution environment for transactions and helps identify new-device, emulator, and account-takeover behaviors; profile is normal endpoint profile."
D005,ex:device/D005,Device,D005,android,False,2025-08-02T08:00:00Z,"Device D005 is a android device first seen on 2025-08-02T08:00:00Z. It represents the client execution environment for transactions and helps identify new-device, emulator, and account-takeover behaviors; profile is normal endpoint profile."
D006,ex:device/D006,Device,D006,ios,False,2025-08-23T08:00:00Z,"Device D006 is a ios device first seen on 2025-08-23T08:00:00Z. It represents the client execution environment for transactions and helps identify new-device, emulator, and account-takeover behaviors; profile is normal endpoint profile."
D007,ex:device/D007,Device,D007,ios,True,2025-10-27T08:00:00Z,"Device D007 is a ios device first seen on 2025-10-27T08:00:00Z. It represents the client execution environment for transactions and helps identify new-device, emulator, and account-takeover behaviors; profile is emulator/synthetic environment."
D008,ex:device/D008,Device,D008,windows,False,2025-12-28T08:00:00Z,"Device D008 is a windows device first seen on 2025-12-28T08:00:00Z. It represents the client execution environment for transactions and helps identify new-device, emulator, and account-takeover behaviors; profile is normal endpoint profile."
D009,ex:device/D009,Device,D009,linux,False,2026-03-18T08:00:00Z,"Device D009 is a linux device first seen on 2026-03-18T08:00:00Z. It represents the client execution environment for transactions and helps identify new-device, emulator, and account-takeover behaviors; profile is normal endpoint profile."
D010,ex:device/D010,Device,D010,macos,False,2025-08-01T08:00:00Z,"Device D010 is a macos device first seen on 2025-08-01T08:00:00Z. It represents the client execution environment for transactions and helps identify new-device, emulator, and account-takeover behaviors; profile is normal endpoint profile."
